Method,#Tree,Max_Depth,Mean_Acc,Mean_Time
brf,100,20,0.9406602953953083,10.10798375606537
brf,100,25,0.941702867072111,10.269419765472412
brf,100,30,0.9421372719374457,10.281378078460694
brf,100,35,0.9429192006950476,10.280256867408752
brf,100,40,0.9416159860990444,10.227287149429321
brf,100,45,0.9427454387489138,10.235968780517577
brf,100,50,0.941963509991312,10.35585675239563
brf,105,5,0.9135534317984362,10.36874270439148
brf,105,10,0.9349261511728933,10.827102446556092
brf,105,15,0.9385751520417029,11.003038358688354
brf,105,20,0.9400521285838401,11.18344326019287
brf,105,25,0.9400521285838401,11.288088726997376
brf,105,30,0.9407471763683753,11.304025554656983
brf,105,35,0.943527367506516,11.344909119606019
brf,105,40,0.9420503909643788,11.362621188163757
brf,105,45,0.9431798436142484,11.317274117469788
brf,105,50,0.9430060816681147,11.303399133682252
brf,110,5,0.9141615986099045,11.401078486442566
brf,110,10,0.9331885317115554,11.851691627502442
brf,110,15,0.940139009556907,12.033575630187988
brf,110,20,0.9411815812337098,12.299277091026307
brf,110,25,0.9420503909643788,12.405706787109375
brf,110,30,0.941876629018245,12.473799991607667
brf,110,35,0.9424847958297132,12.481542444229126
brf,110,40,0.9431798436142484,12.45478835105896
brf,110,45,0.9435273675065161,12.519677710533141
brf,110,50,0.9412684622067766,12.561897110939025
brf,115,5,0.9149435273675067,12.541065287590026
brf,115,10,0.9346655082536923,13.052940511703492
brf,115,15,0.9390964378801044,13.241235613822937
brf,115,20,0.9406602953953083,13.490086817741394
brf,115,25,0.9423110338835794,13.607019758224487
brf,115,30,0.9410078192875762,13.634368896484375
brf,115,35,0.9424847958297132,13.60270128250122
brf,115,40,0.9423979148566464,13.685075736045837
brf,115,45,0.9424847958297132,13.66125683784485
brf,115,50,0.941963509991312,13.658545994758606
brf,120,5,0.9124239791485664,13.741986846923828
brf,120,10,0.9344048653344916,14.19983959197998
brf,120,15,0.9415291051259773,14.462244367599487
brf,120,20,0.9416159860990444,14.754087805747986
brf,120,25,0.9435273675065161,14.951856899261475
brf,120,30,0.9425716768027801,15.254274821281433
brf,120,35,0.9425716768027803,15.22232277393341
brf,120,40,0.9406602953953083,15.073937320709229
brf,120,45,0.9409209383145092,15.67264437675476
brf,120,50,0.9436142484795831,16.23707745075226
brf,125,5,0.9143353605560384,15.907448554039002
brf,125,10,0.9329278887923544,16.756565833091734
brf,125,15,0.9393570807993049,16.03032088279724
brf,125,20,0.9406602953953085,17.064340829849243
brf,125,25,0.9411815812337098,17.1541916847229
brf,125,30,0.9437880104257168,17.37506446838379
brf,125,35,0.9433536055603824,16.89491515159607
brf,125,40,0.9421372719374457,16.665664029121398
brf,125,45,0.9425716768027803,17.068750071525574
brf,125,50,0.941963509991312,16.74125745296478
brf,130,5,0.9152041702867072,16.395262026786803
brf,130,10,0.9354474370112944,17.036708402633668
brf,130,15,0.9390095569070374,17.21227059364319
brf,130,20,0.9409209383145092,17.481386280059816
brf,130,25,0.9428323197219809,17.60400495529175
brf,130,30,0.9417897480451781,17.752820515632628
brf,130,35,0.9442224152910514,17.805490946769716
brf,130,40,0.941876629018245,17.882760167121887
brf,130,45,0.9437880104257168,17.865690064430236
brf,130,50,0.9417897480451781,17.869488573074342
brf,135,5,0.9149435273675065,17.741940999031065
brf,135,10,0.9335360556038228,18.31656382083893
brf,135,15,0.9403996524761077,18.717475175857544
brf,135,20,0.9429192006950476,18.932492351531984
brf,135,25,0.9453518679409209,19.163900136947632
brf,135,30,0.9423979148566464,19.24463768005371
brf,135,35,0.9435273675065161,19.186060643196107
brf,135,40,0.9425716768027801,19.229953360557555
brf,135,45,0.9432667245873153,19.206236028671263
brf,135,50,0.9422241529105128,19.123142743110655
brf,140,5,0.912945264986968,19.158691787719725
brf,140,10,0.934144222415291,19.821964979171753
brf,140,15,0.939443961772372,20.132570648193358
brf,140,20,0.9406602953953083,20.65732572078705
brf,140,25,0.941876629018245,20.690234327316283
brf,140,30,0.9422241529105125,20.83307981491089
brf,140,35,0.9421372719374459,20.793333768844604
brf,140,40,0.9404865334491748,20.897632002830505
brf,140,45,0.9415291051259773,20.903151535987853
brf,140,50,0.9420503909643788,20.887580490112306
brf,145,5,0.9122502172024326,20.769708490371706
brf,145,10,0.9359687228496959,21.38237519264221
brf,145,15,0.9387489139878367,21.75497465133667
brf,145,20,0.9413553431798436,22.147716999053955
brf,145,25,0.942658557775847,22.3442467212677
brf,145,30,0.9409209383145092,22.41898431777954
brf,145,35,0.9415291051259775,22.512613105773926
brf,145,40,0.9420503909643788,22.419447326660155
brf,145,45,0.9434404865334493,22.484201669692993
brf,145,50,0.9430929626411816,22.432405471801758
brf,150,5,0.9148566463944394,22.33999843597412
brf,150,10,0.9353605560382278,22.971790385246276
brf,150,15,0.9397914856646394,23.355799770355226
brf,150,20,0.9415291051259773,23.78356740474701
brf,150,25,0.9420503909643788,23.943221759796142
brf,150,30,0.9417028670721113,24.04421501159668
brf,150,35,0.9438748913987837,24.191701006889343
brf,150,40,0.9406602953953085,24.170460081100465
brf,150,45,0.9435273675065161,24.156455850601198
brf,150,50,0.9417028670721113,24.088121581077576
