Method,#Tree,Max_Depth,Mean_Acc,Mean_Time
brf,5,5,0.8988705473501304,0.09511268138885498
brf,5,10,0.9110338835794961,0.10336625576019287
brf,5,15,0.9108601216333623,0.10396292209625244
brf,5,20,0.9076455256298871,0.10932538509368897
brf,5,25,0.9072980017376195,0.10777871608734131
brf,5,30,0.9043440486533448,0.12382426261901855
brf,5,35,0.9092093831450911,0.11240644454956054
brf,5,40,0.904257167680278,0.11158814430236816
brf,5,45,0.9110338835794961,0.10879304409027099
brf,5,50,0.9065160729800175,0.10938961505889892
brf,10,5,0.9085143353605561,0.23021206855773926
brf,10,10,0.9164205039096439,0.23768072128295897
brf,10,15,0.9226759339704603,0.2434565544128418
brf,10,20,0.9208514335360556,0.24805996417999268
brf,10,25,0.9251086012163338,0.25128726959228515
brf,10,30,0.9226759339704605,0.2512883901596069
brf,10,35,0.917028670721112,0.24927079677581787
brf,10,40,0.9254561251086011,0.24988527297973634
brf,10,45,0.919721980886186,0.2510473966598511
brf,10,50,0.9266724587315378,0.25209290981292726
brf,15,5,0.911902693310165,0.3763150453567505
brf,15,10,0.9253692441355342,0.4149916648864746
brf,15,15,0.9289313640312772,0.41660497188568113
brf,15,20,0.9325803649000868,0.4307312250137329
brf,15,25,0.9336229365768898,0.4274091958999634
brf,15,30,0.9306689834926152,0.4247198820114136
brf,15,35,0.9312771503040833,0.42893214225769044
brf,15,40,0.9294526498696785,0.44808759689331057
brf,15,45,0.9300608166811468,0.4428982973098755
brf,15,50,0.929800173761946,0.4489960432052612
brf,20,5,0.9120764552562989,0.5733955383300782
brf,20,10,0.9289313640312772,0.6033940076828003
brf,20,15,0.9292788879235447,0.6198434829711914
brf,20,20,0.9302345786272805,0.6357208251953125
brf,20,25,0.93501303214596,0.653345251083374
brf,20,30,0.9322328410078192,0.6413517951965332
brf,20,35,0.9326672458731539,0.6434969902038574
brf,20,40,0.9333622936576891,0.6501803398132324
brf,20,45,0.9319721980886186,0.6452702283859253
brf,20,50,0.9327541268462207,0.6452885627746582
brf,25,5,0.912684622067767,0.7978343725204468
brf,25,10,0.9306689834926152,0.8458634614944458
brf,25,15,0.9325803649000868,0.8596791982650757
brf,25,20,0.9344048653344919,0.8884487628936768
brf,25,25,0.9344917463075586,0.8891689062118531
brf,25,30,0.9313640312771503,0.8957189559936524
brf,25,35,0.9344048653344916,0.8930979251861573
brf,25,40,0.9340573414422242,0.9196403980255127
brf,25,45,0.9359687228496959,0.9125957489013672
brf,25,50,0.934144222415291,0.915150809288025
brf,30,5,0.9117289313640313,1.064065170288086
brf,30,10,0.92997393570808,1.1297934770584106
brf,30,15,0.9331885317115554,1.160523271560669
brf,30,20,0.936837532580365,1.182155466079712
brf,30,25,0.9337098175499566,1.1933039426803589
brf,30,30,0.9380538662033014,1.192500376701355
brf,30,35,0.938401390095569,1.1941779375076294
brf,30,40,0.9367506516072981,1.1992205381393433
brf,30,45,0.9348392701998263,1.2053986310958862
brf,30,50,0.9380538662033014,1.1893682956695557
brf,35,5,0.9153779322328409,1.3247356176376344
brf,35,10,0.9284100781928757,1.391919994354248
brf,35,15,0.9340573414422242,1.4297385454177856
brf,35,20,0.9369244135534318,1.4827389001846314
brf,35,25,0.9389226759339703,1.497464942932129
brf,35,30,0.9398783666377064,1.4801989316940307
brf,35,35,0.9391833188531711,1.5292121648788453
brf,35,40,0.9365768896611643,1.5109262466430664
brf,35,45,0.937358818418766,1.542054033279419
brf,35,50,0.9396177237185057,1.5233940601348877
brf,40,5,0.9124239791485665,1.6579678773880004
brf,40,10,0.9321459600347524,1.7494231700897216
brf,40,15,0.9364031277150305,1.7763431072235107
brf,40,20,0.9377932232841006,1.8242335557937621
brf,40,25,0.9351867940920938,1.8419968128204345
brf,40,30,0.9370112945264987,1.849146318435669
brf,40,35,0.9386620330147698,1.8562200784683227
brf,40,40,0.9372719374456995,1.8543658971786499
brf,40,45,0.9380538662033014,1.8809145212173461
brf,40,50,0.9379669852302348,1.8420496940612794
brf,45,5,0.91372719374457,2.002639412879944
brf,45,10,0.9328410078192876,2.122446656227112
brf,45,15,0.935881841876629,2.1590832710266112
brf,45,20,0.9372719374456994,2.19832181930542
brf,45,25,0.9396177237185057,2.2489219665527345
brf,45,30,0.9390095569070374,2.246965265274048
brf,45,35,0.9380538662033017,2.275759720802307
brf,45,40,0.940139009556907,2.2410533666610717
brf,45,45,0.9400521285838401,2.2706927061080933
brf,45,50,0.9385751520417027,2.239596962928772
brf,50,5,0.914596003475239,2.403461289405823
brf,50,10,0.9328410078192876,2.5356534481048585
brf,50,15,0.9350130321459602,2.5976804733276366
brf,50,20,0.939357080799305,2.64709632396698
brf,50,25,0.9397914856646394,2.6759018421173097
brf,50,30,0.9365768896611643,2.6895959854125975
brf,50,35,0.9393570807993049,2.6906036376953124
brf,50,40,0.9387489139878366,2.730489945411682
brf,50,45,0.9391833188531713,2.69637713432312
brf,50,50,0.9373588184187664,2.6893872737884523
brf,55,5,0.913900955690704,2.882403326034546
brf,55,10,0.9329278887923544,2.9975146055221558
brf,55,15,0.9378801042571678,3.0716350793838503
brf,55,20,0.9403127715030408,3.173474097251892
brf,55,25,0.9409209383145092,3.1887722253799438
brf,55,30,0.9384882710686359,3.190389370918274
brf,55,35,0.9407471763683753,3.1937758922576904
brf,55,40,0.9399652476107733,3.192776346206665
brf,55,45,0.9403127715030408,3.1822981357574465
brf,55,50,0.9374456993918333,3.1855434656143187
brf,60,5,0.911989574283232,3.382953643798828
brf,60,10,0.929800173761946,3.524199676513672
brf,60,15,0.9372719374456995,3.614229130744934
brf,60,20,0.93501303214596,3.69195077419281
brf,60,25,0.9416159860990444,3.6868138790130613
brf,60,30,0.939270199826238,3.7254453182220457
brf,60,35,0.9410078192875762,3.7140893936157227
brf,60,40,0.9385751520417029,3.7302440404891968
brf,60,45,0.9416159860990444,3.729397702217102
brf,60,50,0.9386620330147698,3.7364983320236207
brf,65,5,0.9136403127715031,3.89209725856781
brf,65,10,0.9328410078192876,4.107679843902588
brf,65,15,0.936837532580365,4.190764951705932
brf,65,20,0.9390095569070374,4.296924710273743
brf,65,25,0.9390964378801042,4.301741719245911
brf,65,30,0.9393570807993049,4.335882043838501
brf,65,35,0.9397046046915725,4.327108430862427
brf,65,40,0.9396177237185055,4.332350397109986
brf,65,45,0.941007819287576,4.3331424474716185
brf,65,50,0.9415291051259775,4.332970523834229
brf,70,5,0.9131190269331017,4.502218627929688
brf,70,10,0.9311902693310165,4.708412599563599
brf,70,15,0.9385751520417029,4.828283357620239
brf,70,20,0.9386620330147698,4.915200471878052
brf,70,25,0.9402258905299739,4.94035017490387
brf,70,30,0.9397914856646394,4.9145794868469235
brf,70,35,0.9415291051259773,4.927920126914978
brf,70,40,0.9421372719374457,4.918701434135437
brf,70,45,0.9397046046915725,4.945369982719422
brf,70,50,0.9412684622067768,4.947587370872498
brf,75,5,0.9149435273675065,5.0958202362060545
brf,75,10,0.9309296264118159,5.338722133636475
brf,75,15,0.9378801042571677,5.445620536804199
brf,75,20,0.9395308427454389,5.569527959823608
brf,75,25,0.9411815812337098,5.6528692722320555
brf,75,30,0.9409209383145092,5.665452933311462
brf,75,35,0.941007819287576,5.675710654258728
brf,75,40,0.9408340573414422,5.68876371383667
brf,75,45,0.9412684622067768,5.68522367477417
brf,75,50,0.9431798436142484,5.706203413009644
brf,80,5,0.9139878366637706,5.863284182548523
brf,80,10,0.9328410078192876,6.031166434288025
brf,80,15,0.9371850564726326,6.164938068389892
brf,80,20,0.9397046046915726,6.272778344154358
brf,80,25,0.9417028670721113,6.3406736850738525
brf,80,30,0.939357080799305,6.43767237663269
brf,80,35,0.9395308427454389,6.46778404712677
brf,80,40,0.9420503909643788,6.461436319351196
brf,80,45,0.9416159860990442,6.49487030506134
brf,80,50,0.94370112945265,6.507554769515991
brf,85,5,0.9148566463944394,6.6689759492874146
brf,85,10,0.9331016507384884,6.925975227355957
brf,85,15,0.9370112945264987,7.059654235839844
brf,85,20,0.9406602953953085,7.225485801696777
brf,85,25,0.9415291051259773,7.208342504501343
brf,85,30,0.9434404865334493,7.163798427581787
brf,85,35,0.9403996524761077,7.236905264854431
brf,85,40,0.9447437011294525,7.245973706245422
brf,85,45,0.9421372719374457,7.262266945838928
brf,85,50,0.9398783666377064,7.252695512771607
brf,90,5,0.9135534317984361,7.393102622032165
brf,90,10,0.9320590790616855,7.753778696060181
brf,90,15,0.9384882710686361,7.915107583999633
brf,90,20,0.9433536055603822,8.09659116268158
brf,90,25,0.9421372719374457,8.156312012672425
brf,90,30,0.9422241529105125,8.178199577331544
brf,90,35,0.9416159860990442,8.08008508682251
brf,90,40,0.9435273675065161,8.22120704650879
brf,90,45,0.9403127715030409,8.220523762702943
brf,90,50,0.9407471763683753,8.133926033973694
brf,95,5,0.9129452649869678,8.253701734542847
brf,95,10,0.9331016507384884,8.633302474021912
brf,95,15,0.9390095569070374,8.853665709495544
brf,95,20,0.9401390095569072,9.039628553390504
brf,95,25,0.941007819287576,9.101565480232239
brf,95,30,0.9414422241529106,9.172483325004578
brf,95,35,0.941702867072111,9.107211947441101
brf,95,40,0.9400521285838401,9.069084739685058
brf,95,45,0.9426585577758472,9.121676659584045
brf,95,50,0.9433536055603824,9.127326059341431
brf,100,5,0.9128583840139012,9.234376454353333
brf,100,10,0.9314509122502173,9.698505783081055
brf,100,15,0.9398783666377064,9.847582411766052
brf,100,20,0.9390964378801044,10.053817009925842
brf,100,25,0.942658557775847,10.10216269493103
brf,100,30,0.9415291051259773,10.082216835021972
brf,100,35,0.9440486533449175,9.90098466873169
brf,100,40,0.9416159860990442,9.908590960502625
brf,100,45,0.941702867072111,9.92524836063385
brf,100,50,0.9415291051259773,9.970173048973084
brf,105,5,0.9151172893136403,10.150772857666016
brf,105,10,0.9330147697654212,10.54038314819336
brf,105,15,0.9399652476107733,10.798965287208556
brf,105,20,0.939357080799305,11.018738293647766
brf,105,25,0.9417028670721113,10.917411971092225
brf,105,30,0.9417897480451781,10.889463782310486
brf,105,35,0.9410947002606429,10.912542366981507
brf,105,40,0.9426585577758472,10.972456645965575
brf,105,45,0.941963509991312,11.109544134140014
brf,105,50,0.9402258905299739,11.186959624290466
brf,110,5,0.9123370981754995,11.322915983200073
brf,110,10,0.9333622936576889,11.697169303894043
brf,110,15,0.9398783666377062,11.642908692359924
brf,110,20,0.9411815812337098,11.847795152664185
brf,110,25,0.941963509991312,11.922418355941772
brf,110,30,0.9434404865334491,12.045820569992065
brf,110,35,0.9417897480451781,12.034978008270263
brf,110,40,0.9422241529105125,12.079906606674195
brf,110,45,0.9416159860990442,12.104044198989868
brf,110,50,0.9420503909643788,12.156713342666626
brf,115,5,0.9127715030408341,12.077208209037781
brf,115,10,0.9331016507384883,12.745966911315918
brf,115,15,0.9410947002606429,13.07525897026062
brf,115,20,0.9428323197219808,13.365184640884399
brf,115,25,0.9423110338835794,13.41082854270935
