Method,#Tree,Max_Depth,Mean_Acc,Mean_Time
brf,85,25,0.9155516941789749,5.961328983306885
brf,85,30,0.9172024326672459,6.303952097892761
brf,85,35,0.9087749782797566,6.185230827331543
brf,85,40,0.9013900955690703,5.889645767211914
brf,85,45,0.8977410947002606,5.858444738388061
brf,85,50,0.9198957428323198,5.959149265289307
brf,90,5,0.9285838401390094,7.458756828308106
brf,90,10,0.9293657688966117,7.960975551605225
brf,90,15,0.9318853171155517,7.291620373725891
brf,90,20,0.9217202432667246,7.201782655715943
brf,90,25,0.9094700260642921,7.122573256492615
brf,90,30,0.9172024326672459,6.835527729988098
brf,90,35,0.9059947871416162,6.957321357727051
brf,90,40,0.9173761946133796,6.688582468032837
brf,90,45,0.91876629018245,6.656313514709472
brf,90,50,0.9125108601216334,6.727503514289856
brf,95,5,0.9335360556038228,8.217388081550599
brf,95,10,0.9330147697654214,8.423420834541322
brf,95,15,0.9244135534317985,8.037503147125244
brf,95,20,0.9224152910512599,7.680761480331421
brf,95,25,0.9038227628149436,7.6283447504043576
brf,95,30,0.9023457862728061,7.438685131072998
brf,95,35,0.9081668114682886,7.474938321113586
brf,95,40,0.9178105994787142,7.30471704006195
brf,95,45,0.911989574283232,7.357254672050476
brf,95,50,0.908601216333623,7.30888979434967
brf,100,5,0.9279756733275413,9.576147627830505
brf,100,10,0.9336229365768898,9.63485939502716
brf,100,15,0.9264118158123372,8.660857939720154
brf,100,20,0.9183318853171156,8.688095307350158
brf,100,25,0.9046046915725455,7.722076368331909
brf,100,30,0.9198088618592528,8.667625665664673
brf,100,35,0.9079930495221546,8.81738522052765
brf,100,40,0.8943527367506515,8.142183208465577
brf,100,45,0.8934839270199827,8.302228379249573
brf,100,50,0.9082536924413553,8.353283524513245
brf,105,5,0.9233709817549958,10.910123181343078
brf,105,10,0.9340573414422242,10.866707634925842
brf,105,15,0.9240660295395309,9.985781383514404
brf,105,20,0.9220677671589922,9.75534815788269
brf,105,25,0.9021720243266724,8.95141360759735
brf,105,30,0.9095569070373589,8.98333511352539
brf,105,35,0.9073848827106865,9.268292546272278
brf,105,40,0.9035621198957429,8.93157103061676
brf,105,45,0.9028670721112075,9.090391182899475
brf,105,50,0.9145091225021721,8.897594141960145
brf,110,5,0.9311902693310165,11.539660024642945
brf,110,10,0.9319721980886186,12.043040537834168
brf,110,15,0.9200695047784535,10.531322622299195
brf,110,20,0.9091225021720243,9.602469897270202
brf,110,25,0.9149435273675065,10.009772133827209
brf,110,30,0.9172024326672459,9.743892049789428
brf,110,35,0.9082536924413553,10.190443754196167
brf,110,40,0.8979148566463945,9.648207759857177
brf,110,45,0.910947002606429,9.852742004394532
brf,110,50,0.8921807124239793,9.477196288108825
brf,115,5,0.9318853171155517,15.436162543296813
brf,115,10,0.9318853171155516,15.394274926185608
brf,115,15,0.9173761946133796,13.806134724617005
brf,115,20,0.9198957428323196,12.192810654640198
brf,115,25,0.9087749782797567,11.890997052192688
brf,115,30,0.8981754995655953,12.060869884490966
brf,115,35,0.8986099044309297,11.869986629486084
brf,115,40,0.9033883579496089,11.006327247619629
brf,115,45,0.9133796698523022,12.012550759315491
brf,115,50,0.909383145091225,11.770310974121093
brf,120,5,0.9267593397046048,17.752183437347412
brf,120,10,0.9184187662901824,16.17870271205902
brf,120,15,0.9241529105125975,14.572242999076844
brf,120,20,0.9171155516941789,13.460578417778015
brf,120,25,0.9114682884448305,13.257246208190917
brf,120,30,0.9078192875760209,13.550275588035584
brf,120,35,0.9164205039096439,13.260924553871154
brf,120,40,0.8958297132927889,13.77798945903778
brf,120,45,0.9071242397914856,13.783498167991638
brf,120,50,0.8983492615117289,13.388423562049866
brf,125,5,0.925629887054735,17.87784218788147
brf,125,10,0.9320590790616856,17.139740085601808
brf,125,15,0.9278019113814076,14.320680284500122
brf,125,20,0.9167680278019112,13.361198282241821
brf,125,25,0.9029539530842745,12.483086585998535
brf,125,30,0.8967854039965248,12.712988686561584
brf,125,35,0.8900955690703736,12.523154950141906
brf,125,40,0.8907906168549088,12.160988688468933
brf,125,45,0.8953084274543872,12.968615412712097
brf,125,50,0.9098175499565594,13.004024600982666
brf,130,5,0.9258036490008689,17.70130858421326
brf,130,10,0.936837532580365,18.16219058036804
brf,130,15,0.9189400521285837,15.285156488418579
brf,130,20,0.917984361424848,14.435572624206543
brf,130,25,0.9006950477845352,13.763530588150024
brf,130,30,0.8916594265855778,14.482173013687134
brf,130,35,0.8992180712423978,13.516050124168396
brf,130,40,0.9072980017376194,13.664522457122803
brf,130,45,0.9002606429192006,13.626163363456726
brf,130,50,0.8977410947002606,13.179382157325744
brf,135,5,0.9266724587315377,20.06380088329315
brf,135,10,0.9306689834926152,20.597374582290648
brf,135,15,0.9260642919200694,17.289312410354615
